iter	Passed	Remaining
432	18914	24768
433	18958	24724
434	18996	24673
435	19041	24631
436	19092	24597
437	19136	24554
438	19180	24510
439	19228	24472
440	19284	24444
441	19323	24394
442	19364	24347
443	19403	24297
444	19441	24247
445	19488	24207
446	19530	24161
447	19574	24118
448	19615	24071
449	19652	24019
450	19746	24036
451	19797	24002
452	19837	23953
453	19877	23905
454	19920	23860
455	19958	23810
456	19995	23758
457	20037	23712
458	20078	23666
459	20121	23620
460	20162	23574
461	20201	23524
462	20244	23479
463	20283	23430
464	20337	23398
465	20381	23355
466	20428	23315
467	20466	23265
468	20506	23217
469	20553	23177
470	20597	23134
471	20642	23091
472	20688	23050
473	20734	23009
474	20777	22964
475	20826	22926
476	20870	22883
477	20912	22837
478	20956	22793
479	21002	22752
480	21047	22710
481	21093	22668
482	21139	22628
483	21183	22584
484	21228	22541
485	21273	22499
486	21500	22648
487	21544	22603
488	21587	22558
489	21628	22511
490	21667	22462
491	21712	22418
492	21758	22376
493	21799	22329
494	21846	22287
495	21884	22237
496	21930	22195
497	21977	22153
498	22019	22108
499	22061	22061
500	22107	22019
501	22148	21971
502	22195	21930
503	22236	21883
504	22276	21835
505	22314	21784
506	22353	21736
507	22394	21688
508	22439	21645
509	22480	21598
510	22521	21552
511	22569	21512
512	22614	21468
513	22656	21422
514	22695	21372
515	22734	21324
516	22776	21278
517	22814	21229
518	22856	21183
519	22899	21137
520	22938	21088
521	22979	21042
522	23029	21004
523	23076	20962
524	23118	20916
525	23158	20869
526	23203	20825
527	23246	20780
528	23289	20735
529	23331	20690
530	23371	20642
531	23412	20596
532	23458	20553
533	23511	20517
534	23551	20470
535	23598	20428
536	23643	20385
537	23685	20339
538	23729	20295
539	23773	20251
540	23816	20206
541	23854	20157
542	23895	20110
543	23936	20064
544	23981	20021
545	24021	19973
546	24075	19937
547	24120	19894
548	24166	19852
549	24210	19808
550	24252	19762
551	24290	19713
552	24330	19666
553	24373	19622
554	24414	19575
555	24457	19530
556	24496	19482
557	24535	19434
558	24584	19394
559	24634	19355
560	24676	19309
561	24717	19263
562	24756	19216
563	24798	19170
564	24844	19128
565	24884	19081
566	24928	19036
567	24967	18989
568	25011	18945
569	25065	18908
570	25113	18867
571	25150	18819
572	25193	18774
573	25234	18728
574	25278	18684
575	25319	18637
576	25357	18589
577	25398	18543
578	25442	18499
579	25485	18454
580	25529	18411
581	25572	18366
582	25612	18320
583	25660	18278
584	25709	18238
585	25751	18192
586	25791	18146
587	25830	18098
588	25874	18054
589	25914	18008
590	25960	17965
591	26002	17920
592	26043	17875
593	26085	17829
594	26129	17785
595	26176	17744
596	26220	17699
597	26259	17652
598	26300	17606
599	26340	17560
600	26381	17514
601	26423	17469
602	26468	17425
603	26507	17378
604	26551	17335
605	26595	17291
606	26640	17248
607	26688	17206
608	26733	17163
609	26772	17117
610	26814	17071
611	26858	17027
612	26898	16981
613	26937	16934
614	26975	16887
615	27022	16845
616	27076	16807
617	27116	16761
618	27202	16743
619	27248	16700
620	27296	16658
621	27336	16612
622	27379	16568
623	27423	16524
624	27463	16478
625	27505	16433
626	27557	16393
627	27598	16348
628	27637	16301
629	27678	16255
630	27736	16220
631	27781	16176
632	27824	16132
633	27869	16088
634	27909	16042
635	27952	15997
636	27995	15953
637	28035	15907
638	28074	15860
639	28117	15816
640	28166	15774
641	28211	15731
642	28250	15684
643	28288	15637
644	28326	15590
645	28369	15546
646	28410	15500
647	28450	15454
648	28489	15407
649	28529	15361
650	28573	15318
651	28612	15271
652	28655	15227
653	28695	15181
654	28740	15137
655	28790	15097
656	28829	15051
657	28869	15005
658	28914	14962
659	28958	14917
660	29007	14876
661	29057	14835
662	29104	14793
663	29150	14750
664	29194	14706
665	29267	14677
666	29312	14634
667	29369	14596
668	29416	14554
669	29463	14511
670	29510	14469
671	29555	14425
672	29597	14380
673	29637	14334
674	29682	14291
675	29723	14245
676	29767	14202
677	29816	14160
678	29859	14116
679	29901	14071
680	29945	14027
681	29987	13982
682	30025	13935
683	30068	13891
684	30113	13847
685	30155	13802
686	30194	13756
687	30236	13711
688	30284	13669
689	30330	13626
690	30372	13581
691	30412	13536
692	30453	13491
693	30495	13446
694	30535	13400
695	30578	13356
696	30618	13310
697	30658	13264
698	30697	13218
699	30742	13175
700	30784	13130
701	30835	13089
702	30876	13044
703	30918	12999
704	30959	12954
705	30997	12908
706	31038	12863
707	31078	12817
708	31119	12772
709	31159	12726
710	31200	12681
711	31247	12639
712	31295	12597
713	31341	12554
714	31383	12509
715	31431	12467
716	31475	12423
717	31515	12378
718	31559	12334
719	31600	12289
720	31641	12244
721	31687	12201
722	31729	12156
723	31770	12111
724	31810	12066
725	31860	12024
726	31902	11980
727	31947	11936
728	31992	11893
729	32031	11847
730	32075	11803
731	32120	11759
732	32160	11714
733	32203	11670
734	32243	11625
735	32290	11582
736	32336	11539
737	32377	11494
738	32418	11449
739	32454	11403
740	32496	11358
741	32543	11315
742	32585	11271
743	32627	11226
744	32665	11180
745	32708	11136
746	32749	11091
747	32790	11047
748	32833	11002
749	32875	10958
750	32923	10916
751	32967	10872
752	33005	10826
753	33052	10783
754	33094	10739
755	33134	10694
756	33174	10649
757	33224	10607
758	33263	10561
759	33308	10518
760	33352	10474
761	33404	10433
762	33456	10392
763	33499	10347
764	33537	10302
765	33575	10256
766	33617	10212
767	33701	10180
768	33752	10138
769	33794	10094
770	33834	10049
771	33879	10005
772	33923	9961
773	33973	9919
774	34017	9876
775	34060	9831
776	34124	9793
777	34167	9749
778	34209	9705
779	34248	9659
780	34290	9615
781	34341	9573
782	34384	9529
783	34432	9486
784	34475	9442
785	34517	9397
786	34561	9354
787	34602	9309
788	34642	9264
789	34680	9218
790	34722	9174
791	34768	9131
792	34811	9086
793	34850	9041
794	34890	8996
795	34929	8951
796	34981	8909
797	35025	8866
798	35064	8821
799	35106	8776
800	35146	8731
801	35186	8686
802	35233	8643
803	35273	8598
804	35317	8555
805	35360	8511
806	35407	8468
807	35453	8424
808	35505	8382
809	35552	8339
810	35592	8294
811	35635	8250
812	35678	8206
813	35717	8161
814	35757	8116
815	35799	8072
816	35839	8027
817	35884	7984
818	35923	7939
819	35966	7895
820	36032	7855
821	36076	7812
822	36120	7768
823	36162	7724
824	36204	7679
825	36241	7634
826	36283	7590
827	36324	7545
828	36365	7501
829	36407	7457
830	36452	7413
831	36495	7369
832	36547	7326
833	36590	7282
834	36630	7238
835	36669	7193
836	36714	7149
837	36758	7106
838	36800	7061
839	36845	7018
840	36887	6973
841	36931	6930
842	36980	6887
843	37020	6842
844	37075	6800
845	37123	6757
846	37168	6714
847	37215	6670
848	37259	6626
849	37299	6582
850	37344	6538
851	37391	6495
852	37432	6450
853	37479	6407
854	37525	6364
855	37575	6321
856	37618	6277
857	37660	6232
858	37700	6188
859	37743	6144
860	37782	6099
861	37826	6055
862	37872	6012
863	37913	5967
864	37957	5923
865	38004	5880
866	38045	5836
867	38088	5792
868	38143	5750
869	38190	5706
870	38231	5662
871	38274	5618
872	38314	5573
873	38358	5529
874	38395	5485
875	38438	5441
876	38504	5400
877	38545	5355
878	38593	5312
879	38635	5268
880	38678	5224
881	38722	5180
882	38769	5137
883	38809	5092
884	38854	5048
885	38892	5004
886	38938	4960
887	38988	4917
888	39031	4873
889	39075	4829
890	39119	4785
891	39176	4743
892	39218	4699
893	39258	4654
894	39303	4611
895	39347	4567
896	39389	4523
897	39434	4479
898	39474	4434
899	39517	4390
900	39562	4347
901	39612	4303
902	39665	4260
903	39715	4217
904	39821	4180
905	39866	4136
906	39909	4092
907	40002	4053
908	40050	4009
909	40097	3965
910	40137	3921
911	40193	3878
912	40234	3833
913	40273	3789
914	40315	3745
915	40361	3701
916	40400	3656
917	40441	3612
918	40484	3568
919	40531	3524
920	40578	3480
921	40622	3436
922	40667	3392
923	40711	3348
924	40780	3306
925	40820	3262
926	40861	3217
927	40902	3173
928	40945	3129
929	40986	3084
930	41030	3040
931	41078	2997
932	41118	2952
933	41160	2908
934	41216	2865
935	41261	2821
936	41301	2776
937	41342	2732
938	41384	2688
939	41427	2644
940	41470	2600
941	41512	2555
942	41555	2511
943	41597	2467
944	41645	2423
945	41700	2380
946	41744	2336
947	41785	2292
948	41832	2248
949	41876	2204
950	41918	2159
951	41960	2115
952	42003	2071
953	42041	2027
954	42086	1983
955	42130	1939
956	42174	1894
957	42246	1852
958	42295	1808
959	42339	1764
960	42380	1719
961	42420	1675
962	42461	1631
963	42516	1587
964	42564	1543
965	42610	1499
966	42650	1455
967	42697	1411
968	42745	1367
969	42787	1323
970	42829	1279
971	42872	1235
972	42923	1191
973	42969	1147
974	43015	1102
975	43058	1058
976	43097	1014
977	43141	970
978	43185	926
979	43233	882
980	43296	838
981	43341	794
982	43386	750
983	43430	706
984	43473	662
985	43514	617
986	43559	573
987	43603	529
988	43647	485
989	43689	441
990	43741	397
991	43783	353
992	43829	308
993	43870	264
994	43910	220
995	43953	176
996	43994	132
997	44041	88
998	44093	44
999	44133	0
