iter	RMSE
0	49.06459038
1	48.57338881
2	48.50754623
3	48.33397223
4	48.25501739
5	47.99814924
6	47.9402719
7	47.78596157
8	47.63807264
9	47.38847674
10	47.10985451
11	47.01626946
12	46.09222441
13	45.26312507
14	45.11096086
15	44.81897278
16	44.61527236
17	43.96114576
18	43.4644839
19	43.12416776
20	43.08648957
21	42.35612785
22	42.31951035
23	42.03858703
24	41.94219728
25	41.84020868
26	41.26639982
27	40.69828083
28	40.58267346
29	40.01180727
30	39.78187831
31	39.55682021
32	39.03952755
33	38.9249616
34	38.3968069
35	38.16920959
36	38.04610538
37	37.74522616
38	37.56920719
39	37.14612708
40	37.05507855
41	36.62910564
42	36.20765317
43	36.01687247
44	35.93329599
45	35.63230132
46	35.45435836
47	35.22021169
48	35.11942063
49	34.96292768
50	34.87139052
51	34.73168613
52	34.54875455
53	34.50554665
54	34.4377325
55	34.16834754
56	33.83873096
57	33.52098657
58	33.39161383
59	33.16421741
60	33.02841548
61	32.82446267
62	32.76451662
63	32.7273372
64	32.64649294
65	32.51505673
66	32.41560287
67	32.3472875
68	32.30366002
69	32.09200006
70	31.80946628
71	31.70755762
72	31.604563
73	31.55711718
74	31.44388447
75	31.40129139
76	31.31321369
77	31.12617754
78	30.93964217
79	30.74483203
80	30.58317372
81	30.44791168
82	30.39039735
83	30.30866249
84	30.21500175
85	30.12849823
86	30.0529567
87	29.73086066
88	29.66501908
89	29.48313662
90	29.28582664
91	29.17810664
92	28.96448456
93	28.81731131
94	28.50173909
95	28.35487431
96	28.31956664
97	28.21100085
98	28.14240947
99	28.04364482
100	27.86084399
101	27.8178884
102	27.68586487
103	27.65701308
104	27.59990738
105	27.57306883
106	27.47968219
107	27.37739612
108	27.26921435
109	27.16662597
110	27.06842579
111	27.04239811
112	27.00721226
113	26.78909144
114	26.7575127
115	26.74751426
116	26.71282874
117	26.58067217
118	26.54844364
119	26.47693739
120	26.38889468
121	26.23420996
122	26.20483936
123	26.17164339
124	26.11347296
125	26.0339495
126	25.96337119
127	25.92371363
128	25.89397621
129	25.87007987
130	25.82861985
131	25.79917266
132	25.68218038
133	25.50014798
134	25.38484682
135	25.35700744
136	25.32220078
137	25.17002145
138	25.09782874
139	25.06423067
140	25.02442699
141	25.00262617
142	24.86788066
143	24.83061707
144	24.82162819
145	24.79787275
146	24.74032599
147	24.70929162
148	24.69899848
